Brand,Number,Location,Price,Description,ImageName
John Deere 348,870-236-5475,"Paragould, AR","11,500","Very nice used baler-Run through our
shop with New knotters and fingers-
Ready to bale

Pickup gauge wheels
Regular bale chute
Regular bale chute
Hydraulic pickup lift
Hyd tongue positner cylinder",/images/no_pic_agriculture_600.gif
John Deere 8420,870-236-5475,"Paragould, AR","105,000","Bought New at this dealership.Very nice
tractor with ILS suspension and New
front tires, Always serviced and comes
with Laforge Front Hitch. Very nice
local tractor. All new drive shafts and wheel bearing in front axles. Ready to work

Guidance-ready: Yes
Cab: Cab
Instructional seat
4 remote cylinder controls
Pto: 1000 rpm independent
2 front tires 420/85R34 R1W
3 point hitch with 17,623lb capacity
Dual 20.8R42 Rear Tires
Weight rear: 2,800lb
42.5 gpm hydraulic pump (85cc)
118.5inch (120mm) rear axle
Active seat","http://static.mascus.com/image/product/large/johndeereus/john-deere-8420,3648587-1.jpg"
John Deere 9410R,870-236-5475,"Paragould, AR","232,000","one year tillage tractor comes with 5
year warranty. Serviced and ready to
work--620/42 R1W duals-5 remotes

PTO: Yes
Guidance-ready: Yes","http://static.mascus.com/image/product/large/johndeereus/john-deere-9410r,3135736-1.jpg"
John Deere 4730,870-236-5475,"Paragould, AR","185,000","Very sharp one crop spraqyer always
serviced and kept in farmers shed. This
machine has 90 ft boom and row crop
fenders. Serviced and ready to spray in
2015

Boom Width: 90-Foot
Guidance-ready: Yes
Strainers
Underframe shields","http://static.mascus.com/image/product/large/johndeereus/john-deere-4730,3736447-1.jpg"
John Deere 8260R,870-236-5475,"Paragould, AR","199,500","THIS TRACTOR ALMOST HAS IT ALL.
SERVICED AND READY TO GO TO WORK.
480/70R34 R1W MICHELIN FRONT DUALS 90%.
480/80R50 R1W MICHELIN REAR DUALS 90%.
IVT.
ILS.
LEATHER.
6 REMOTES.
HYDRAULIC TOP LINK.
STILL IN WARRANTY.
FOR MORE INFO CONTACT LES MCCORMIC

Guidance-ready: Yes
Cab: Cab
Premium Radio Pkg with XM Radio
ILS less Front Brakes
60 gpm (85cc) hydraulic pump
118.5 inch (120mm) rear axle
Independent pto-1000 rpm
IVT 40 kph with Right Hand Reverser
3 point hitch 18,700 lb lift capacity
JDLnk Ult. promotion 3yrs
7in color touch display
4 front tires 480/70R34 R1W
Weight: front support 22 with weights
620 mm Front fenders
Weight rear: 1 pair inside wheel 450 lb
Full coverage rear fender
480/80R50 Rear Tires R1W
Premium Cab with ActiveSeat
RH & LH Electric Adj Mirrors
Cat. 4 Drawbar with HD Support","http://static.mascus.com/image/product/large/johndeereus/john-deere-8260r,3140919-1.jpg"
John Deere 6125R,870-236-5475,"Paragould, AR","115,500","IVT autotrak ready with triplelink
front suspension, These tractors are
loaded with extended warranty. Serviced
and ready to work.

Loader: Yes
PTO: 540/1000
Cab: Cab
MFWD with triple link suspension
2 front tires 320/80r42 R1W
IVTtransmission 26 mph (42k) with LHR
Shiftable pto 540/1000 no 540 shaft
40 gallon fuel tank
710/70r42  R1W Rear Tires","http://static.mascus.com/image/product/large/johndeereus/john-deere-6125r,3259010-1.jpg"
John Deere 8335R,870-236-5475,"Paragould, AR","229,500","Very nice low houred tractor---IVT with
ILS and front duals-Warraty still
remains-Serviced daily Hurry before
this one gets away!!!!!

Guidance-ready: Yes
Cab: Cab
Independent pto-1000 rpm
4 front tires 480/70R34 R1W
ILS less Front Brakes
3 point hitch 18,700 lb lift capacity
Weight: front support 22 with weights
480 mm Front Fenders
Full coverage rear fender
Weight rear: 2 inside wheel 1400 lb
Cat. 4 Drawbar with HD Support
118.5 inch (120mm) rear axle
IVT 40 kph with Right Hand Reverser
520/ 85R46 Rear Tires
7in color touch display
Premium Cab with ActiveSeat
Premium Radio Pkg with XM Radio
60 gpm (85cc) hydraulic pump
Five remote cylinder control","http://static.mascus.com/image/product/large/johndeereus/john-deere-8335r,3865974-1.jpg"
John Deere 6115M,870-236-5475,"Paragould, AR","87,500","One owner, low hours, kept in shed, serviced and
ready to go.

Loader: Yes
PTO: 540/1000
Cab: Cab
Loader attached","http://static.mascus.com/image/product/large/johndeereus/john-deere-6115m,3683518-1.jpg"
John Deere 9430S,870-236-5475,"Paragould, AR","172,500","Very nice Scraper Unit used on
Customers farm for Dirt and tillage.
Well taken care of. Serviced and read
to go.. Call Ron Bellomy
or David Jenkins

Guidance-ready: Yes
710/70R42 Tires
Drawbar support for long scraper
78 gpm hyd pump - 4 SCV
Weight: front support with 22 weights
Greenstar ready wiring harness","http://static.mascus.com/image/product/large/johndeereus/john-deere-9430s,3322159-1.jpg"
John Deere 4630,870-236-5475,"Paragould, AR","168,500","Only one crop always kept in the shed,
Serviced and still under basic
warranty. Hurry before these are gone

Boom Width: 80-Foot
Guidance-ready: Yes
50 gal foam marker, single drop
Strainers
Manual tread adjust
Traction control","http://static.mascus.com/image/product/large/johndeereus/john-deere-4630,3736399-1.jpg"
