Brand,Number,Location,Price,Description,ImageName
John Deere S680,407-259-7775,"Yankton, SD","299,990",Year 2013,/images/no_pic_agriculture_600.gif
John Deere S680,407-259-7775,"Yankton, SD","299,990",Year 2013,/images/no_pic_agriculture_600.gif
John Deere S680,407-259-7775,"Yankton, SD","299,990",Year 2013,/images/no_pic_agriculture_600.gif
John Deere S680,407-259-7775,"Yankton, SD","299,990",Year 2013,/images/no_pic_agriculture_600.gif
John Deere 1770NT,407-259-7775,"Norfolk, NE","129,900",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-1770nt,16387_1.jpg"
John Deere 676,800-307-2927,"Clermont, IA","20,000","gone through before corn season last fall

new slip clutches
came off 6710","http://static.mascus.com/image/product/large/johndeereus/john-deere-676,3788521-1.jpg"
John Deere 6710,800-307-2927,"Clermont, IA","59,000","NEW DRIVE TIRES LAST FALL, POWER REAR WHEELS

Axle: PRWD
truck spout w/ext, 32 knife cutterhead,30.5x32 drive tires, 50 series blower,50 series harness update,knives and shear bar new 80 acres ago
Long spout
Adjustable rear axle 4-wd
Rear wheels 14.9-24 8pr","http://static.mascus.com/image/product/large/johndeereus/john-deere-6710,3787275-1.jpg"
John Deere 9650,407-259-7775,"Mullins, SC","99,000",Year 2002,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9650,15966_1.jpg"
John Deere 5055E,407-259-7775,"Arcadia, FL","39,750",Year 2014,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5055e,12922_1.jpg"
John Deere 2155,407-259-7775,"lake worth, FL","16,250",Year 1991,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-2155,7999_1.jpg"
John Deere 4640,407-259-7775,"Humbolt, TN","15,990",Year 1978,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,14014_1.jpg"
John Deere 4020,407-259-7775,"Caldwell, ID","12,250",Year 1967,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4020,11322_1.jpg"
John Deere 9220,407-259-7775,"Albany, OR","114,000",Year 2004,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9220,5465_1.jpg"
John Deere 4440H,407-259-7775,"Parsons, KS","29,850",Year 1995,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4440h,13426_1.jpg"
John Deere 4050,407-259-7775,"Santa Maria, CA","21,990",Year 1984,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4050,4325_1.jpg"
John Deere 4630,407-259-7775,"Monroe, WA","18,250",Year 1987,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4630,9206_1.jpg"
John Deere 4640,407-259-7775,"Humbolt, TN","17,995",Year 1981,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,12916_1.jpg"
John Deere 8285R,407-259-7775,"Gleason, TN","189,990",Year 2012,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8285r,15811_1.jpg"
John Deere 7810,407-259-7775,"Bradford, TN","69,990",Year 2009,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7810,15115_1.jpg"
John Deere 9420,407-259-7775,"Humboldt, TN","135,000",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9420,12933_1.jpg"
John Deere 5310,407-259-7775,"Wilmington, NC","17,890",Year 2001,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-5310,8137_1.jpg"
John Deere 4640,407-259-7775,"N. Myrtle Beach, SC","15,000",Year 1982,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4640,10103_1.jpg"
John Deere 4760,407-259-7775,"Friendship, TN","44,500",Year 1994,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4760,15509_1.jpg"
John Deere 8410,407-259-7775,"Friendship, TN","74,990",Year 2001,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-8410,14015_1.jpg"
John Deere 4720,407-259-7775,"Clermont,, FL","19,500",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4720,8517_1.jpg"
