Brand, Number, Location, Price, Description, ImageNameJohn Deere 6125R,309-342-3188,"Carthage, IL","82,900","CALL TIM TILLMAN AT 217-357-3918. 2013 JOHN DEERE MFWD 6125R UTILITY TRACTOR WITH 255 HRS. PREMIUM CAB WITH DELUXE RIGHT HAND CONSOLE. AIR COMFORT SEAT WITH PASSENGER SEAT. POWERQUAD 16 SPD TRANSMISSION. BIG HYDRUALIC PUMP WITH 3 REAR SCVS AND MID MOUNT VALVE. 540/1000 PTO. RACK AND PINION REAR AXLE WITH 460/85R38 REAR TIRES AND 14.9X24 FRONT TIRES AND FENDERS. WORK LIGHT PACKAGE WITH BELTLINE LIGHTS.

PTO: 540/1000
7.50-16 Front Tires
Shiftable pto 540/1000 no 540 shaft
40 gallon fuel tank
Front fenders","http://static.mascus.com/image/product/large/johndeereus/john-deere-6125r,3013079-1.jpg"
John Deere 6140R,309-342-3188,"Brimfield, IL","101,900","CALL JULIUS AT 309-853-4456. 2013 JOHN
DEERE 6140R TRACTOR W/ 490 ENG
HRS, 140 HP, CAB, MFWD, PARTIAL
POWERSHIFT, 20 FORWARD, 20 REVERSE,
18.4-38 REARS, 16.9-26 FRONTS, COLD
WEATHER PACKAGE, MID SCV, STANDARD 3
POINT HITCH, 540/1000 PTO, REAR 450#
WEIGHTS.

PTO: 540/1000
Cab: Cab
CommandView II Cab
Three remote cylinder control
Shiftable pto 540/1000 no 540 shaft
3 point hitch 13,800 lb lift capacity","http://static.mascus.com/image/product/large/johndeereus/john-deere-6140r,3024750-1.jpg"
John Deere 6140M,309-342-3188309-342- ***  ...click here,"Lexington, IL","95,900","2014 6140M, deluxe cab, autoquad plus
transmission, MFWD, 460/85R38
rears, 380/85R28 fronts, 2 rear SCV,
loader prep package.

PTO: 540/1000
Shiftable pto 540/1000 no 540 shaft
40 gallon fuel tank","http://static.mascus.com/image/product/large/johndeereus/john-deere-6140m,3778253-1.jpg"
John Deere 630F,620-241-3553,"Mcpherson, KS","29,900",Auger with full width fingers,"http://static.mascus.com/image/product/large/johndeereus/john-deere-630f,3879476-1.jpg"
John Deere 6140M,309-342-3188,"Roanoke, IL","95,900","2014 6140M, deluxe cab, autoquad
transmission, MFWD, 460/85R38
rears, 380/85R28 fronts, 2 rear SCV,
loader prep package.

PTO: 540/1000
Cab: Cab
Shiftable pto 540/1000 no 540 shaft
40 gallon fuel tank","http://static.mascus.com/image/product/large/johndeereus/john-deere-6140m,3778201-1.jpg"
John Deere 7200R,406-545-0126,"Miller, SD","160,685","200 ENG HP, 164 PTO HP, H480 LOADER, 20/20 SP CQ PLUS (40K) MFWD, 480/80R46 65% TREAD, 420/90R30 65% TREAD, PREMIUM CAB, 4 SCVS, 43 GPM HYD, PTO 540E/1000/1000E, CAT2 3PT AUTOTRAC READY, INSIDE REAR 2 X 1450, PIVOTING FRONT FENDERS, 110 INCH REAR AXLE, MANUAL EXTERNAL MIRRORS, DLX RADIO PKG ACTIVE SEAT, LESS RADAR, H480 SL LOADER BUCKET & GRAPPLE WITH HOOD GUARD, 7IN COLOR TOUCH DISPLAY/HID LIGHT PKG, FOOT SPEED CONTROL THROTTLE, OPERATORS MANUAL INCLUDED, ONE OWNER, LOCAL TRADE, PREMIUM USED EQUIPMENT! SU#188842

7200R JOHN DEERE TRACTOR W/ LOADER","http://static.mascus.com/image/product/large/johndeereus/john-deere-7200r,3915224-1.jpg"
John Deere 9560RT,507-629-4740,"Tracy, MN","287,182","560 ENG HP, PTO HP, 18F/6R POWERSHIFT, 36"" TRACKS, 90% TREAD REMAINING, DURABUILT 5500, 5 SCVS, STD SEAT, CAT5 WIDESWING DRAWBAR, 22 FRONT WEIGHTS HID XENON LIGHTS FRONT & REAR, AM/FM RADIO W/XM OPERATORS MANUAL INCLUDED, WARRANTY:POWERGUARD UNTIL AUGUST 2017, CALL CHRIS AT 507-476-0161 - VISIT OUR WEBSITE DEEREQUIPMENT.COM TO VIEW OUR INVENTORY ONLINE. STOCK #188959","http://static.mascus.com/image/product/large/johndeereus/john-deere-9560rt,3919617-1.jpg"
